order_id,product_id,date,quantity
41fd82a9-2708-49d2-bd3d-de309c91b2dc,55a5fb22-58e6-455c-a946-7ff3a663a09a,"2017-02-28 01:53",29
41fd82a9-2708-49d2-bd3d-de309c91b2dc,97fc8dd1-007b-43d9-a002-b55af1a0fae2,"2017-02-28 01:53",34
d6ca61ab-6291-401e-ba87-c3d2101a7418,55a5fb22-58e6-455c-a946-7ff3a663a09a,"2017-04-25 08:06",49
3fba2aa6-98cd-49c5-9a93-c74006ad3edf,abea5095-9a01-445a-b6e7-e868dc9c7139,"2018-10-18 16:47",14
d5618f22-abbe-42cf-8c76-8ab347384d57,d2ebe048-0ff0-4143-8cb5-7972b4c5ec73,"2019-10-19 19:37",21
ca77abd9-7a6a-4806-96b9-81b996dd25bc,97fc8dd1-007b-43d9-a002-b55af1a0fae2,"2020-11-02 22:33",25
ca77abd9-7a6a-4806-96b9-81b996dd25bc,c3220a0b-6cf2-41c9-88e3-d5dfdec7d859,"2020-11-02 22:33",24
a4962c94-240c-44cd-b41b-04e32e349cfc,dff31119-df35-40f7-b024-54e7cda7a88a,"2018-03-21 17:09",21
a4962c94-240c-44cd-b41b-04e32e349cfc,58c88279-6917-4ddc-be9b-0aab8990228a,"2018-03-21 17:09",20
fa2c5312-64cd-4c89-a988-37214039d748,d2ebe048-0ff0-4143-8cb5-7972b4c5ec73,"2016-03-06 10:49",36
fa2c5312-64cd-4c89-a988-37214039d748,efd616fd-defb-46ea-a9cc-a0db2eef5060,"2016-03-06 10:49",43
fa2c5312-64cd-4c89-a988-37214039d748,c3220a0b-6cf2-41c9-88e3-d5dfdec7d859,"2016-03-06 10:49",24
5473c895-a647-4950-9a43-48c83af9e49d,d2ebe048-0ff0-4143-8cb5-7972b4c5ec73,"2018-01-08 14:46",43
7a0cee89-b46f-4e26-85be-0596f6010257,f1543803-f332-480b-8cb0-2ba596c2b521,"2021-07-10 07:05",35
90f6aa5a-c621-4625-b412-b6801829e6a6,204385a5-a7ab-4dcb-8c9c-54ebf2199870,"2016-12-11 00:19",33
90f6aa5a-c621-4625-b412-b6801829e6a6,9df7abd2-e71e-4f64-9fba-1eb0f26de1cc,"2016-12-11 00:19",25
90f6aa5a-c621-4625-b412-b6801829e6a6,8e0a3da8-92a9-4bc9-ba8e-7262c7ab4592,"2016-12-11 00:19",44
90f6aa5a-c621-4625-b412-b6801829e6a6,9df7abd2-e71e-4f64-9fba-1eb0f26de1cc,"2016-12-11 00:19",5
90f6aa5a-c621-4625-b412-b6801829e6a6,abea5095-9a01-445a-b6e7-e868dc9c7139,"2016-12-11 00:19",44
90f6aa5a-c621-4625-b412-b6801829e6a6,8e0a3da8-92a9-4bc9-ba8e-7262c7ab4592,"2016-12-11 00:19",28
b1a01402-8027-4697-a3fd-9b2c27b981a8,560ee0f3-08c5-4fec-a8df-a938049771c7,"2020-11-29 06:33",27
f390f949-c7d4-40d1-93a7-dcf3188dfe14,58c88279-6917-4ddc-be9b-0aab8990228a,"2017-03-21 12:02",4
62543014-9722-4ec5-8154-b67ab5f0114c,58c88279-6917-4ddc-be9b-0aab8990228a,"2022-06-18 15:45",15
9bbe315c-1cec-4127-9a3e-c4168d7364d8,c53fb673-b28d-4ae6-b493-dfe210d418a6,"2016-08-02 07:02",49
9bbe315c-1cec-4127-9a3e-c4168d7364d8,71de73ef-db15-4f32-b501-f864a6c9e4c7,"2016-08-02 07:02",22
e7ef8727-8381-4e11-96aa-3b96781739f7,c3220a0b-6cf2-41c9-88e3-d5dfdec7d859,"2017-01-23 00:06",27
70f88e3f-0a8b-4ea2-b0fe-04fd97da5343,f1543803-f332-480b-8cb0-2ba596c2b521,"2019-03-19 06:36",40
70f88e3f-0a8b-4ea2-b0fe-04fd97da5343,55a5fb22-58e6-455c-a946-7ff3a663a09a,"2019-03-19 06:36",36
630dfc31-3806-49c6-95e6-b32d1dc01bf9,63d46d55-8cb6-4ed8-a5d8-64e384c1f11a,"2018-06-20 14:50",4
630dfc31-3806-49c6-95e6-b32d1dc01bf9,efd616fd-defb-46ea-a9cc-a0db2eef5060,"2018-06-20 14:50",38
630dfc31-3806-49c6-95e6-b32d1dc01bf9,560ee0f3-08c5-4fec-a8df-a938049771c7,"2018-06-20 14:50",7
630dfc31-3806-49c6-95e6-b32d1dc01bf9,560ee0f3-08c5-4fec-a8df-a938049771c7,"2018-06-20 14:50",45
2d0abb5d-3b27-4b8c-bf11-7b86003a433d,204385a5-a7ab-4dcb-8c9c-54ebf2199870,"2016-04-12 00:14",44
2d0abb5d-3b27-4b8c-bf11-7b86003a433d,97fc8dd1-007b-43d9-a002-b55af1a0fae2,"2016-04-12 00:14",11
270904e3-2c2e-4231-a3a1-fb5345c55245,dff31119-df35-40f7-b024-54e7cda7a88a,"2022-09-19 18:14",9
